zip_code,city,lat,long,pop,state,state_name
01506,BROOKFIELD,42.199141,-72.098887,2968,MA,Massachusetts
01507,CHARLTON,42.137902,-71.966384,9576,MA,Massachusetts
01510,CLINTON,42.418147,-71.682847,13269,MA,Massachusetts
01515,EAST BROOKFIELD,42.219308,-72.048078,2033,MA,Massachusetts
01516,EAST DOUGLAS,42.060566,-71.726611,5594,MA,Massachusetts
01518,FISKDALE,42.122762,-72.117764,774,MA,Massachusetts
01519,GRAFTON,42.200371,-71.686848,4910,MA,Massachusetts
01520,HOLDEN,42.341983,-71.84142,12051,MA,Massachusetts
01521,HOLLAND,42.040264,-72.154373,747,MA,Massachusetts
01522,JEFFERSON,42.375519,-71.87058,2478,MA,Massachusetts
01523,LANCASTER,42.450984,-71.686831,6018,MA,Massachusetts
01524,LEICESTER,42.237047,-71.918829,6527,MA,Massachusetts
01527,MILLBURY,42.196779,-71.764438,12228,MA,Massachusetts
01529,MILLVILLE,42.033102,-71.579813,2236,MA,Massachusetts
01531,NEW BRAINTREE,42.31977,-72.130642,881,MA,Massachusetts
01532,NORTHBOROUGH,42.318242,-71.646372,11930,MA,Massachusetts
01534,NORTHBRIDGE,42.1494,-71.656366,4564,MA,Massachusetts
01535,NORTH BROOKFIELD,42.266455,-72.082129,4755,MA,Massachusetts
01536,NORTH GRAFTON,42.229726,-71.703691,5401,MA,Massachusetts
01537,NORTH OXFORD,42.16549,-71.885953,3031,MA,Massachusetts
01540,OXFORD,42.11285,-71.868677,9557,MA,Massachusetts
01541,PRINCETON,42.450812,-71.876245,3189,MA,Massachusetts
01542,ROCHDALE,42.199685,-71.906882,1154,MA,Massachusetts
01543,RUTLAND,42.376199,-71.948951,4936,MA,Massachusetts
01545,SHREWSBURY,42.284801,-71.720503,24146,MA,Massachusetts
01550,SOUTHBRIDGE,42.075024,-72.035347,17816,MA,Massachusetts
01560,SOUTH GRAFTON,42.176042,-71.692725,2719,MA,Massachusetts
01562,SPENCER,42.244103,-71.990617,11598,MA,Massachusetts
01564,STERLING,42.435351,-71.775192,6481,MA,Massachusetts
01566,STURBRIDGE,42.112619,-72.084233,7001,MA,Massachusetts
01568,WEST UPTON,42.173275,-71.608014,4682,MA,Massachusetts
01569,UXBRIDGE,42.074426,-71.632869,10364,MA,Massachusetts
01570,DUDLEY HILL,42.047574,-71.839467,3735,MA,Massachusetts
01571,DUDLEY,42.048894,-71.893228,22001,MA,Massachusetts
01581,WESTBOROUGH,42.267891,-71.617604,14132,MA,Massachusetts
01583,WEST BOYLSTON,42.35836,-71.783822,6611,MA,Massachusetts
01585,WEST BROOKFIELD,42.244137,-72.151137,3528,MA,Massachusetts
01588,WHITINSVILLE,42.115319,-71.664357,8807,MA,Massachusetts
01590,WILKINSONVILLE,42.140586,-71.748416,6719,MA,Massachusetts
01602,WORCESTER,42.270251,-71.841678,19988,MA,Massachusetts
01603,WORCESTER,42.245033,-71.837995,18605,MA,Massachusetts
01604,WORCESTER,42.254084,-71.774626,29036,MA,Massachusetts
01605,WORCESTER,42.289391,-71.788795,25695,MA,Massachusetts
01606,WORCESTER,42.311029,-71.795774,18213,MA,Massachusetts
01607,WORCESTER,42.230294,-71.793837,9048,MA,Massachusetts
01608,WORCESTER,42.262425,-71.800262,3646,MA,Massachusetts
01609,WORCESTER,42.275387,-71.817456,21905,MA,Massachusetts
01610,WORCESTER,42.249186,-71.810798,23720,MA,Massachusetts
01611,CHERRY VALLEY,42.237287,-71.874971,2510,MA,Massachusetts
01612,PAXTON,42.306646,-71.920234,4047,MA,Massachusetts
01701,FRAMINGHAM,42.300665,-71.425486,65046,MA,Massachusetts
01718,VILLAGE OF NAGOG,42.514941,-71.422354,2330,MA,Massachusetts
01719,BOXBORO,42.486876,-71.518229,3343,MA,Massachusetts
01720,ACTON,42.475076,-71.448255,15514,MA,Massachusetts
01721,ASHLAND,42.253909,-71.458347,12066,MA,Massachusetts
01730,BEDFORD,42.484287,-71.276796,16147,MA,Massachusetts
01740,BOLTON,42.436523,-71.607593,3134,MA,Massachusetts
01741,CARLISLE,42.528562,-71.351892,4333,MA,Massachusetts
01742,CONCORD,42.456701,-71.374741,17076,MA,Massachusetts
01745,SOUTHBOROUGH,42.293221,-71.502256,506,MA,Massachusetts
01746,HOLLISTON,42.202641,-71.436059,12917,MA,Massachusetts
01747,HOPEDALE,42.126796,-71.537601,5649,MA,Massachusetts
01748,HOPKINTON,42.219046,-71.530178,9191,MA,Massachusetts
01749,HUDSON,42.391796,-71.560896,17233,MA,Massachusetts
01752,MARLBOROUGH,42.350861,-71.543355,31813,MA,Massachusetts
01754,MAYNARD,42.432118,-71.454975,10325,MA,Massachusetts
01756,MENDON,42.096744,-71.549882,4010,MA,Massachusetts
01757,MILFORD,42.151142,-71.527402,25372,MA,Massachusetts
01760,NATICK,42.287476,-71.35741,30432,MA,Massachusetts
01770,SHERBORN,42.233088,-71.378717,3998,MA,Massachusetts
01772,SOUTHBOROUGH,42.293919,-71.531997,6122,MA,Massachusetts
01773,LINCOLN,42.421723,-71.313723,4515,MA,Massachusetts
01775,STOW,42.430785,-71.515019,5328,MA,Massachusetts
01776,SUDBURY,42.383655,-71.428159,14358,MA,Massachusetts
01778,WAYLAND,42.348629,-71.358781,11874,MA,Massachusetts
01801,WOBURN,42.482894,-71.157404,36152,MA,Massachusetts
01803,BURLINGTON,42.508942,-71.200437,23093,MA,Massachusetts
01810,ANDOVER,42.64956,-71.156481,29161,MA,Massachusetts
01821,BILLERICA,42.551874,-71.251754,28899,MA,Massachusetts
01824,SOUTH CHELMSFORD,42.59356,-71.357521,24457,MA,Massachusetts
01826,DRACUT,42.676422,-71.318592,25594,MA,Massachusetts
01827,DUNSTABLE,42.673917,-71.495201,2166,MA,Massachusetts
01830,HAVERHILL,42.785605,-71.072057,22445,MA,Massachusetts
01832,HAVERHILL,42.779154,-71.109519,16860,MA,Massachusetts
01833,GEORGETOWN,42.728067,-70.982239,6384,MA,Massachusetts
01834,GROVELAND,42.753027,-71.027018,5214,MA,Massachusetts
01835,BRADFORD,42.758597,-71.08549,12078,MA,Massachusetts
01840,LAWRENCE,42.707958,-71.16381,2728,MA,Massachusetts
01841,LAWRENCE,42.711545,-71.166997,45555,MA,Massachusetts
01843,LAWRENCE,42.691053,-71.160506,22285,MA,Massachusetts
01844,METHUEN,42.728019,-71.181031,39664,MA,Massachusetts
01845,NORTH ANDOVER,42.682583,-71.109004,22792,MA,Massachusetts
01850,LOWELL,42.656035,-71.305078,15434,MA,Massachusetts
01851,LOWELL,42.631548,-71.332882,28154,MA,Massachusetts
01852,LOWELL,42.634413,-71.298331,33379,MA,Massachusetts
01854,LOWELL,42.649254,-71.335464,26472,MA,Massachusetts
01860,MERRIMAC,42.834629,-71.004658,5196,MA,Massachusetts
01862,NORTH BILLERICA,42.575694,-71.290217,8720,MA,Massachusetts
01863,NORTH CHELMSFORD,42.634737,-71.390834,7878,MA,Massachusetts
01864,NORTH READING,42.581898,-71.094711,12002,MA,Massachusetts
01867,READING,42.527986,-71.109021,22539,MA,Massachusetts
01876,TEWKSBURY,42.60283,-71.223224,27269,MA,Massachusetts
01879,TYNGSBORO,42.672383,-71.415766,8643,MA,Massachusetts
01880,WAKEFIELD,42.500886,-71.068471,24830,MA,Massachusetts
01886,GRANITEVILLE,42.589959,-71.438143,16430,MA,Massachusetts
01887,WILMINGTON,42.558143,-71.172306,17647,MA,Massachusetts
01890,WINCHESTER,42.453028,-71.14407,20232,MA,Massachusetts
01901,LYNN,42.463378,-70.945516,1187,MA,Massachusetts
01902,LYNN,42.469814,-70.941989,41625,MA,Massachusetts
01904,EAST LYNN,42.487453,-70.962798,17073,MA,Massachusetts
01905,WEST LYNN,42.46453,-70.973825,21360,MA,Massachusetts
01906,SAUGUS,42.463344,-71.011093,25487,MA,Massachusetts
01907,SWAMPSCOTT,42.474611,-70.909774,13650,MA,Massachusetts
01908,NAHANT,42.426098,-70.927739,3828,MA,Massachusetts
01913,AMESBURY,42.855879,-70.936681,14970,MA,Massachusetts
01915,BEVERLY,42.560825,-70.875939,38259,MA,Massachusetts
01921,BOXFORD,42.679719,-71.011372,6249,MA,Massachusetts
01922,BYFIELD,42.756792,-70.935053,2006,MA,Massachusetts
01923,DANVERS,42.569402,-70.942461,23977,MA,Massachusetts
01929,ESSEX,42.628629,-70.782794,3260,MA,Massachusetts
01930,GLOUCESTER,42.620836,-70.672149,28716,MA,Massachusetts
01938,IPSWICH,42.680877,-70.849353,11864,MA,Massachusetts
01940,LYNNFIELD,42.532711,-71.033873,11274,MA,Massachusetts
01944,MANCHESTER,42.57963,-70.767434,5286,MA,Massachusetts
01945,MARBLEHEAD,42.498431,-70.865291,19971,MA,Massachusetts
01949,MIDDLETON,42.594184,-71.013004,4921,MA,Massachusetts
01950,NEWBURYPORT,42.812964,-70.884668,16317,MA,Massachusetts
01951,NEWBURY,42.783475,-70.847377,3710,MA,Massachusetts
01952,SALISBURY,42.850678,-70.858822,6879,MA,Massachusetts
01960,PEABODY,42.532579,-70.961194,47685,MA,Massachusetts
01966,ROCKPORT,42.657973,-70.619424,7482,MA,Massachusetts
01969,ROWLEY,42.713753,-70.90696,4368,MA,Massachusetts
01970,SALEM,42.515114,-70.900343,37642,MA,Massachusetts
01982,SOUTH HAMILTON,42.618478,-70.856132,7288,MA,Massachusetts
01983,TOPSFIELD,42.641546,-70.948843,5763,MA,Massachusetts
